release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Quality Management System,Release 14 | (14.0.1),End of Life,78,K,K78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Process Quality Binding,Release 14 | (14.0.1),End of Life,78,L,L78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Manufacturing Process Planning,Release 14 | (14.0.1),End of Life,78,M,M78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Digital Twin Core,,End of Life,78,N,N78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Unified Change Management,,End of Life,78,O,O78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Variant Management,,End of Life,78,P,P78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,High Tech Electronics,,End of Life,78,Q,Q78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Supplier Management,,End of Life,78,R,R78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Aras ProAppDesigner,,End of Life,78,S,S78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Aras Portal,,End of Life,78,T,T78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Office Connector,Release 14 | (14.0.1),End of Life,78,U,U78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Office Productivity Connector,Release 14 | (14.0.0.14),End of Life,78,V,V78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Workspace Productivity Connector,,End of Life,78,W,W78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Enterprise Search,Release 14 (14.0.1),End of Life,78,X,X78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,3D Visualization,Release 14 (14.0.1),End of Life,78,Y,Y78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Process Engine,Release 18 | (14.0.1),End of Life,78,Z,Z78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Event Handling Framework,,End of Life,78,AA,AA78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Reporting,,End of Life,78,AB,AB78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,OAuth Registry,,End of Life,78,AC,AC78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,AI Assistant,,End of Life,78,AD,AD78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Import Manager,,End of Life,78,AE,AE78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Workflow UI,,End of Life,78,AF,AF78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,IOM SDK,15.0.1,End of Life,78,AG,AG78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Package Import/Export Utility,,End of Life,78,AH,AH78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,3D Visualization,Release 19 (14.0.2)[1],End of Life,81,Y,Y81
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Enterprise Search,Release 20 (14.0.2),End of Life,84,X,X84
Release 18 | (Build 14.0.4.34465),Jun-2025 2,3D Visualization,Release 21 (14.0.3),End of Life,84,Y,Y84
Release 18 | (Build 14.0.4.34465),Jun-2025 2,3D Visualization,Release 26 (14.0.4),End of Life,87,Y,Y87
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Enterprise Search,Release 32 (14.0.3),End of Life,90,X,X90
Release 18 | (Build 14.0.4.34465),Jun-2025 2,3D Visualization,Release 29 (14.0.5),End of Life,90,Y,Y90
Release 18 | (Build 14.0.4.34465),Jun-2025 2,3D Visualization,Release 31 (14.0.6),End of Life,93,Y,Y93
Release 18 | (Build 14.0.4.34465),Jun-2025 2,3D Visualization,Release 33 (14.0.7),End of Life,96,Y,Y96
